#NAME?	#NAME?
(1) (Japanese) maple	(1) (Japanischer) Ahorn
(1) aunt; (2) middle-aged lady	(1) Tante; (2) Dame mittleren Alters
(1) chapter; section; (2) medal	(1) Kapitel; Abschnitt; (2) Medaille
(1) coincidence; agreement; (2) conformity	(1) Zufall; Vereinbarung; (2) Konformität
(1) complete; completion; (2) perfection; accomplishment	(1) vollständig; Fertigstellung; (2) Perfektion; Leistung
(1) connection; union; join; link; (2) changing trains	(1) Verbindung; Union; verbinden; Link; (2) Umsteigen
(1) dear; beloved; darling; (2) yearned for	(1) Liebling; geliebten; Schatz; (2) ersehnt
(1) defect; demerit; weak point; (2) disadvantage	(1) Defekt; Fehler; Schwachpunkt; (2) Nachteil
(1) draft (beer); (2) raw; unprocessed	(1) Fassbier (Bier); (2) roh; unverarbeitet
(1) farm (livestock); (2) pasture land; meadow; grazing land	(1) Bauernhof (Viehhaltung); (2) Weideland; Wiese; Weideland
(1) flower arrangement	(1) Blumenarrangement
(1) gold; (2) gold general (shogi) (abbr)	(1) Gold; (2) Goldgeneral (Shogi) (Abk.)
(1) horse; (2) promoted bishop (shogi)	(1) Pferd; (2) beförderter Bischof (Shogi)
(1) idea; notion; conception; (2) sense (e.g. of duty)	(1) Idee; Vorstellung; Konzeption; (2) Sinn (z. B. Pflichtgefühl)
(1) left and right; (2) influence; control; domination	(1) links und rechts; (2) Einfluss; Kontrolle; Herrschaft
(1) line; procession; (2) matrix (math)	(1) Linie; Prozession; (2) Matrix (Mathematik)
(1) mark; (2) symbol; (3) evidence	(1) markieren; (2) Symbol; (3) Beweise
(1) mouse; rat; (2) dark gray; slate color	(1) Maus; Ratte; (2) dunkelgrau; Schieferfarbe
(1) on the other hand; (2) meanwhile; (3) only; simple; in turn	(1) andererseits; (2) inzwischen; (3) nur; einfach; wiederum
(1) one day; (2) first of month	(1) ein Tag; (2) Erster des Monats
(1) one object; one body; (2) what on earth?; really?; (3) generally	(1) ein Objekt; ein Körper; (2) Was zum Teufel?; Wirklich?; (3) allgemein
(1) order; precedence; (2) circumstances; (3) immediate(ly)	(1) Bestellung; Vorrang; (2) Umstände; (3) unmittelbar(ly)
(1) organization; (2) structure; construction; (3) tissue; (4) system	(1) Organisation; (2) Struktur; Konstruktion; (3) Gewebe; (4) System
(1) origin; original; (2) former	(1) Herkunft; Original; (2) ehemalige
(1) pine tree; (2) highest (of a three-tier ranking system)	(1) Kiefer; (2) höchste (eines dreistufigen Rankingsystems)
(1) player (in game); (2) team	(1) Spieler (im Spiel); (2) Mannschaft
(1) remodeling; (2) modding (comp)	(1) Umbau; (2) Modding (comp)
(1) request; commission; dispatch; (2) dependence; trust	(1) Anfrage; Kommission; versenden; (2) Abhängigkeit; Vertrauen
(1) seed; (2) material; (3) cause; source	(1) Samen; (2) Material; (3) Ursache; Quelle
(1) service; duty; (2) Buddhist religious services	(1) Dienst; Pflicht; (2) Buddhistische Gottesdienste
(1) service; duty; business; responsibility; task; (2) Buddhist religious services	(1) Dienst; Pflicht; Geschäft; Verantwortung; Aufgabe; (2) Buddhistische Gottesdienste
(1) silver; silver coin; silver paint	(1) Silber; Silbermünze; silberne Farbe
(1) string; cord; (2) pimp	(1) Zeichenfolge; Kabel; (2) Zuhälter
(1) strong point; merit; (2) advantage	(1) Stärke; Verdienst; (2) Vorteil
(1) time; hour; (2) occasion; moment	(1) Zeit; Stunde; (2) Anlass; Moment
(1) to adopt (measure; proposal); (2) to pick (fruit)	(1) annehmen (Maßnahme; Vorschlag); (2) (Obst) pflücken
(1) to appear; to attend (2) to exit	(1) erscheinen; teilnehmen (2) verlassen
(1) to appear; to come in sight; to become visible; (2) to express oneself	(1) erscheinen; in Sicht kommen; sichtbar werden; (2) sich ausdrücken
(1) to attach; to join; to add; to append	(1) anhängen; beitreten; hinzufügen; anhängen
(1) to avoid (physical contact ); (2) to ward off; to avert	(1) (Körperkontakt) vermeiden; (2) abwehren; abzuwenden
(1) to be finished; to be ready; by definition; (2) to be very drunk	(1) fertig sein; bereit sein; per Definition; (2) sehr betrunken sein
(1) to be fixed; (2) to abide; to stay (in the one place)	(1) festzulegen; (2) bleiben; (an einem Ort) bleiben
(1) to breathe; (2) to tell (lies); (3) to vomit; to disgorge	(1) atmen; (2) (Lügen) erzählen; (3) Erbrechen; ausspucken
(1) to comprise; to account for; to make up (of); (2) to hold; to occupy	(1) umfassen; Rechenschaft ablegen; erfinden (aus); (2) halten; besetzen
(1) to cut well; to be sharp; (2) to break (off)	(1) gut schneiden; scharf sein; (2) abbrechen (abbrechen)
(1) to date (someone) (2) to keep company	(1) mit jemandem ausgehen (2) um Gesellschaft zu leisten
(1) to disgrace; to dishonour; (2) to pollute; to contaminate; to soil; to make dirty; to stain	(1) zur Schande; entehren; (2) verschmutzen; kontaminieren; zum Boden; schmutzig machen; beflecken
(1) to draw (water); to dip; to scoop; to pump	(1) (Wasser) schöpfen; eintauchen; schöpfen; pumpen
(1) to drive; to pass through; (2) to evade; to hide; (3) to dive (into or under water); to go undergroun	(1) fahren; durchgehen; (2) ausweichen; verstecken; (3) tauchen (in oder unter Wasser); unter die Erde gehen
(1) to govern; to manage; (2) to subdue	(1) regieren; verwalten; (2) unterwerfen
(1) to grow; to spring up; (2) to cut (teeth)	(1) wachsen; aufkeimen; (2) (Zähne schneiden)
(1) to invite; to ask; (2) to tempt; to lure; to induce	(1) einladen; fragen; (2) in Versuchung führen; locken; veranlassen
(1) to open; to become empty; (2) to be less crowded	(1) öffnen; leer werden; (2) weniger überfüllt sein
(1) to pull; to draw; to stretch; to drag; (2) to pull the ball (baseball)	(1) ziehen; zeichnen; sich strecken; ziehen; ziehen; (2) den Ball ziehen (Baseball)
(1) to retreat; to recede; to withdraw	(1) sich zurückziehen; zurücktreten; zurückziehen
