#NAME?	#NAME?
(1) (Japanese) maple	(1) (ಜಪಾನೀಸ್) ಮೇಪಲ್
(1) aunt; (2) middle-aged lady	(1) ಚಿಕ್ಕಮ್ಮ; (2) ಮಧ್ಯವಯಸ್ಕ ಮಹಿಳೆ
(1) chapter; section; (2) medal	(1) ಅಧ್ಯಾಯ; ವಿಭಾಗ; (2) ಪದಕ
(1) coincidence; agreement; (2) conformity	(1) ಕಾಕತಾಳೀಯ; ಒಪ್ಪಂದ; (2) ಅನುಸರಣೆ
(1) complete; completion; (2) perfection; accomplishment	(1) ಸಂಪೂರ್ಣ; ಪೂರ್ಣಗೊಳಿಸುವಿಕೆ; (2) ಪರಿಪೂರ್ಣತೆ; ಸಾಧನೆ
(1) connection; union; join; link; (2) changing trains	(1) ಸಂಪರ್ಕ; ಒಕ್ಕೂಟ; ಸೇರು; ಲಿಂಕ್; (2) ರೈಲುಗಳನ್ನು ಬದಲಾಯಿಸುವುದು
(1) dear; beloved; darling; (2) yearned for	(1) ಪ್ರಿಯ; ಪ್ರೀತಿಯ; ಪ್ರಿಯತಮೆ; (2) ಹಂಬಲಿಸಿದೆ
(1) defect; demerit; weak point; (2) disadvantage	(1) ದೋಷ; ನ್ಯೂನತೆ; ದುರ್ಬಲ ಬಿಂದು; (2) ಅನನುಕೂಲತೆ
(1) draft (beer); (2) raw; unprocessed	(1) ಡ್ರಾಫ್ಟ್ (ಬಿಯರ್); (2) ಕಚ್ಚಾ; ಸಂಸ್ಕರಿಸದ
(1) farm (livestock); (2) pasture land; meadow; grazing land	(1) ಫಾರ್ಮ್ (ಜಾನುವಾರು); (2) ಹುಲ್ಲುಗಾವಲು ಭೂಮಿ; ಹುಲ್ಲುಗಾವಲು; ಹುಲ್ಲುಗಾವಲು ಭೂಮಿ
(1) flower arrangement	(1) ಹೂವಿನ ಜೋಡಣೆ
(1) gold; (2) gold general (shogi) (abbr)	(1) ಚಿನ್ನ; (2) ಚಿನ್ನದ ಸಾಮಾನ್ಯ (ಶೋಗಿ) (abbr)
(1) horse; (2) promoted bishop (shogi)	(1) ಕುದುರೆ; (2) ಬಡ್ತಿ ಪಡೆದ ಬಿಷಪ್ (ಶೋಗಿ)
(1) idea; notion; conception; (2) sense (e.g. of duty)	(1) ಕಲ್ಪನೆ; ಕಲ್ಪನೆ; ಪರಿಕಲ್ಪನೆ; (2) ಅರ್ಥ (ಉದಾ. ಕರ್ತವ್ಯ)
