सुप्रभात, आप कैसे हैं?	Good morning, how are you?
सुप्रभात, माँ!	Good morning, mother!
सबको सुप्रभात।	Good morning to all.
शुभ दोपहर, श्रीमान।	Good afternoon, sir.
शुभ दोपहर, महोदया।	Good afternoon, madam.
शुभ दोपहर, मित्र।	Good afternoon, friend.
शुभ संध्या, आप कैसे हैं?	Good evening, how are you?
शुभ संध्या, पिताजी।	Good evening, father.
शुभ संध्या, सबको।	Good evening, everyone.
शुभ रात्रि, प्रिय।	Good night, dear.
शुभ रात्रि, माँ।	Good night, mother.
अब शुभ रात्रि।	Good night now.
अलविदा, फिर मिलते हैं।	Goodbye, see you again.
अलविदा, मेरा मित्र।	Goodbye, my friend.
अब अलविदा।	Goodbye now.
आपसे मिलकर अच्छा लगा।	Nice to meet you.
आपसे मिलकर अच्छा लगा, महोदया।	Nice to meet you, madam.
आज आपसे मिलकर अच्छा लगा।	It was nice to meet you today.
क्षमा करें, यह क्या है?	Sorry, what is this?
क्षमा करें, मैं देर से आया।	Sorry, I came late.
कृपया क्षमा करें।	Please forgive me.
क्षमा करें, समय क्या हुआ है?	Excuse me, what time is it?
क्षमा करें, क्या आप यहाँ हैं?	Excuse me, are you here?
क्षमा करें, एक प्रश्न है।	Excuse me, there is a question.
बेशक, मैं आऊँगा।	Of course, I will come.
बेशक, यह सही है।	Of course, this is correct.
बेशक, आप जा सकते हैं।	Of course, you can go.
श्रीमान शर्मा यहाँ हैं।	Mr. Sharma is here.
श्रीमान वर्मा कहाँ हैं?	Where is Mr. Verma?
नमस्ते, श्रीमान।	Hello, sir.
श्रीमती गुप्ता अच्छी हैं।	Mrs. Gupta is good.
नमस्ते, श्रीमती सिंह।	Hello, Mrs. Singh.
श्रीमती कपूर यहाँ हैं।	Mrs. Kapoor is here.
मिस राव एक शिक्षिका हैं।	Miss Rao is a teacher.
नमस्ते, मिस शर्मा।	Hello, Miss Sharma.
मिस कपूर कहाँ हैं?	Where is Miss Kapoor?
नमस्ते, महोदया।	Hello, madam.
महोदया, आपका नाम क्या है?	Madam, what is your name?
महोदया, वह यहाँ हैं।	Madam, she is here.
प्रिय मित्र, कैसे हो?	Dear friend, how are you?
मेरे प्रिय भाई।	My dear brother.
प्रिय माँ, आप कैसी हैं?	Dear mother, how are you?
बाद में मिलते हैं, दोस्त।	See you later, friend.
हम बाद में मिलते हैं।	We see you later.
ठीक है, बाद में मिलते हैं।	Okay, see you later.
अपना ख्याल रखना।	Take care of yourself.
आप ख्याल रखना।	You take care.
दोस्त, ख्याल रखना।	Friend, take care.
आपका दिन शुभ हो।	Have a nice day.
नमस्ते, आपका दिन शुभ हो।	Hello, have a nice day.
अलविदा, आपका दिन शुभ हो।	Goodbye, have a nice day.
अलविदा, दोस्त।	Bye, friend.
अलविदा, फिर मिलेंगे।	Bye, we will meet again.
शून्य एक नंबर है।	Zero is a number.
यहाँ शून्य है।	Zero is here.
शून्य से शुरू करो।	Start from zero.
मेरे पास पांच पेन हैं।	I have five pens.
पांच दिन और चाहिए।	Five more days are needed.
वह पांच साल का है।	He is five years old.
छह लोग यहाँ हैं।	Six people are here.
